学年,年度,授業開始時間,科目,コメント
小5,2026,2026/5/28 15:50,算数,本日は四角形の角度を扱いました。比較的きちんと考えて解いていますが、時折前の問題の式の数字だけ変えて計算しようとしてしまう時があります。本人も自覚はあるようなので、一度指摘するとその後しばらくはきちんと解こうとしているようです。また、法則や定義等への関心が薄く計算方法だけに興味を向けてしまうのか、平行四辺形の向かい合う角度が同じなどの決まり事をなかなか覚えられていない様子です。一方で問いかけると思い出せるので、あと一歩習慣づけられればどんどん進められるようになるのではと思っています。
高3,2026,2026/5/27 20:20,英語,今回はテストの見直しをしました。生物は用語を覚えきれていなかったのと、記述問題での失点が要因です。それぞれの働きや機能を自分で説明できるようにしていきましょう。数学は理解度のわりに点数が低くなってしまいました。ミスもあるので、普段の演習から気を付けて取り組むようにしてください。
中2,2026,2026/5/27 18:50,数学,"本日も引き続き連立方程式の応用から扱いました。文字を使って式を作る際に、文字にとらわれすぎて考えることができていません。何を式にするのかが分かったら、普通に数字が書かれている状態をイメージしてどう計算するのか考えてみるようにして下さい。
後半は文字式の利用の復習を行いました。図形の問題はなんとなくこうだろうで考えるのではなく、一つ一つの長さを確認してから式を作るようにしていきましょう。テストが近いのでしばらくは復習を進めます。"
中2,2026,2026/5/27 18:50,英語,本日も引き続き接続詞の確認を行いました。接続詞そのものの使い方は問題ないですが、want等の基本単語が抜けているので、テストまでに絶対に覚えるようにしましょう。今回でおそらくテスト範囲が終わったと思うので、次回からは復習を進めていきます。もう一度やり直す時間はないので、宿題範囲の単語はきちんと覚えながら進めるようにしてください。
小6,2026,2026/5/27 15:50,算数,"本日は通貨算・時計算の演習問題を進めました。宿題範囲で分からなかったものですが、一度説明した後は解き方は間違えずに取り組むことが出来ていました。時速と秒速、kmとmなど単位を合わせずに計算してしまったり答えの単位を確認せずに書いてしまうことがあるのでその点は注意が必要です。時計算の方は少し時間が掛かりましたが、最後は理解してくれたように思います。説明の際にわかっていない箇所を自分で確認できるようになってきたので、少しずつ成長がみられます。
次回は上の第3回の不明点から始めます。"
小4,2026,2026/5/27 15:50,国語,本日は引き続き説明文を扱いました。概ねよくできてて、記述問題もあきらめずに書ききることができていました。同じ内容の箇所を選ぶ問題では、話がイメージしにくかったこともあり空欄になってしまいました。このタイプの問題は内容が分からなくても「○○な考え方」のように共通部分を探して、あるいは論理関係から同じになるはずの場所を探して解く必要があるので、現時点ではできていなくても大丈夫ですが少しずつ慣れさせていければと思います。
中3,2026,2026/5/26 20:20,数学,本日は証明問題を扱いました。書き方そのものは理解したように思います。この書き方をそのまま覚えて書けるようにしておけばほかの問題と違ってあまり考えることはないので、とにかく省略せずに言葉を書くようにしてください。式変形の部分は展開なので、できるだけきちんと書くようにしてください。
中2,2026,2026/5/26 18:50,英語,"本日は学校のテストの確認から始めました。まず単語が覚えきれていないので、早めに覚え切るようにしましょう。また、SVOOの文で語順を間違えているので、動詞＋人＋モノの語順を徹底するようにしてください。また、宿題範囲はかなり忘れてしまっていたので、直前にまとめてやるのではなく少しずつ進めるようにしてください。
テストが近づいてきたので戻って復習を進めます。少しページ数は多いですが一度やった問題なので間違えないように細かいところまで気を配って取り組んでください。"
中2,2026,2026/5/26 18:50,英語,"本日は学校のテストの確認から始めました。まず単語が覚えきれていないので、早めに覚え切るようにしましょう。また、SVOOの文で語順を間違えているので、動詞＋人＋モノの語順を徹底するようにしてください。また、宿題範囲はかなり忘れてしまっていたので、直前にまとめてやるのではなく少しずつ進めるようにしてください。
テストが近づいてきたので戻って復習を進めます。少しページ数は多いですが一度やった問題なので間違えないように細かいところまで気を配って取り組んでください。"
中1,2026,2026/5/26 17:20,英語,本日は宿題の確認の後Unit1のまとめの単元を扱いました。少しは慣れてきた様子ですが、まだまだbe動詞と一般動詞の混同が見られます。前回から引き続き言い続けているので指摘すると気づけますが、自分で問題を解いているときは間違ってしまっています。この点は今後もずっと使う考え方なので早めに身に着けたいところです。また、単語が覚えられていないので何を書くか分かっても書けない状態になっているので、すぐに書けるレベルまで覚えるようにしていきましょう！
小6,2026,2026/5/26 15:50,国語,本日からテーマ別の文章に入りました。今回は自然科学系の説明文でした。近いところに答えがあるようなものは正しく選べていますが、少し離れたところにあるものは書けていない状態です。全体として、文章の論理構造が正しく把握できていない印象を受けました。接続語を選ぶ問題も間違えていたため、短文のプリントを用いて確認しましたが、因果関係の把握が弱いようです。記述問題も同様で論理に飛躍があるまま書いてしまっている問題が2つあったので、因果の流れを常に確認しながら読むように指導していきます。
中3,2026,2026/5/25 18:50,数学,本日は二次方程式まで終わっていたため、二次関数に入る前に飛ばしていた比例反比例と一次関数に戻って扱いました。関数の単元はまず定義や用語の意味を正しく理解することが不可欠なので、今日説明したことをしっかり覚えておいて下さい。また、式とグラフの関係を考える癖をつけていくと理解がより深まるはずです。まずはある点を通る＝座標を代入したら成り立つということを覚えておきましょう。
中1,2026,2026/5/25 17:20,国語,宿題のプリントを紛失したとのことで、そこから始めました。漢字の成り立ちの範囲で、説明の後はきちんと解くことが出来ました。その後の漢字の範囲は読みは問題ないものの半分かけていないという状況で、書き順も怪しいので、ドリルに取り組む際は書き順も確認しながら進めて下さい。テストが近づいてきたので、次週からはテキストの復習を進めます。
小4,2026,2026/5/25 15:50,算数,"本日は大きい数の宿題の確認から入りました。特に億から兆など桁をまたぐタイプの10倍、100倍を問う問題で間違いが見られましたが、何度か例を挙げて説明した後は正しく答えられました。
その後テキストに戻って□を使った式の応用を扱いました。式の一部を大きな四角に置き換えるという手順をなかなか使ってくれず、感覚で解き続けていましたが、後半はそれでは解けなくなったこともあり、なんとか正しい手順で解くことが出来ました。ただまだ□を求める式を作るという感覚は薄いようなのでもう少し演習は必要そうです。"
高3,2026,2026/5/22 20:20,英語,"本日は分詞構文を扱いました。このあたりからは読解を見据えた定義をしっかり覚えていってください。接続詞は文をまとめて名詞か副詞にするもの、分詞構文は接続詞を省略したものと覚えてください。また、問題を解く際は必ず文法規則に則って考えるようにするとBeingが省略されているパターンも気づきやすくなります。
後半は受動態を扱いました。こちらも目的語を主語に、動詞をbe+過去分詞に変える、後はそのまま書くという順番で考えるようにしていきましょう。
過去分詞形が怪しいのでこれを機に覚えてしまってください。"
中2,2026,2026/5/22 18:50,国語,"本日は類義語対義語の確認の後、テキストに戻って富士山の文章を扱いました。まず言葉については原因と結果、手段と目的、実質と形式等、普段は反対と意識しないものについても覚えておくようにしましょう。
文章はしっかり読めていますが、記述の答案が抜き出しに近いものになっているので、問に対して短い文を考えてから本文と字数に合わせて付け足していくような書き方にすること、問われ方から語尾を確認する事を徹底していきましょう。"
中2,2026,2026/5/22 18:50,数学,"宿題範囲の多項式の乗除から確認しました。7割ほどは良く出来ていました。文字に分数係数がついているときは必ず文字を分子側に書き換えて計算するようにしましょう。また、式の値を求めるタイプの問題は代入する前に式を変形して簡単にしてから代入するようにして下さい。
後半母文字式の利用の証明問題を扱いました。これらは形が決まっているので、まずは形を覚えてそのとおりに書けるようにしましょう。自分で考えるのは文字で表す方法ぐらいなので、覚えてしまえば実は簡単です。宿題でも練習してきて下さい。"
小6,2026,2026/5/22 17:20,国語,今回は宿題の物語文の確認から始めました。かなり読みにくい文章でしたが、状況はきちんと把握できていました。記述問題で字数が少ないままにしてしまうので、9割以上埋めるように指示しています。その後類義語や対義語の確認を行いましたが、前回やった漢字も覚えられていなかったので、少し時間を開けて再度復習するようにしていきます。
中1,2026,2026/5/22 17:20,数学,"本日は宿題の確認から始めました。正負の数の足し算引き算は問題なくできていましたが、最初の概念の確認のあたりがあまりできていなかったので整理しました。どちらかというと問題をちゃんと読んでいない感じなので、設問をきちんと読むように指導しています。
その後割り算の続きを進めました。小数の掛け算割り算を忘れていたようなのでやり方を伝えたところ、問題なく進められていました。テストが近づいてきたので学校のワークも並行して進めてください。"
小5,2026,2026/5/22 15:50,国語,"本日は漢字ドリルの類義語対義語から始めました。一部書けないものもありましたが、漢字そのものは比較的正しく書けていました。内容と形式など日常では反対と意識しないものがまだ覚えられてい内容なので、この辺りは繰り返し演習出来ればと思います。
後半は物語文の心情について扱いました。心情が直接書かれていない場合に行動から読み取ることが出来ていませんでした。指摘すれば読み取ることは出来ていて、おそらく文章に書かれている内容をそのまま答えにしようとしているようで、今後もこのあたりを練習していきます。"
中3,2026,2026/5/21 20:20,英語,本日は助動詞について学習しました。ゆっくりながらも以前よりは正しく答えることが出来ました。問題を解くときに、考える前に説明の部分を見る癖がついているので修正が必要です。問題を見て考えて、スペル等思い出せないものがある時に見るようにして下さい。なんとなくヒントを探すような見方ではいつまで経っても身に付かないです。単語も同様に覚えてから書くようにして少しずつでも良いのでスペルを覚えていきましょう。
中1,2026,2026/5/21 18:50,英語,今回は英検の模擬試験に取り組みました。最初の語句補充は半分弱の正答率でした。まず読み飛ばしがあるので、丁寧に読んでから答えるようにしましょう。最後の2題は文法でまだ習っていない範囲が出るのであまり時間をかけないようにしてください。読解問題もある程度読めているので、必ず設問を読んでから本文を読むこと、根拠を確認してから選ぶことを徹底しましょう。英作文は前にやった通り書き方が決まっているので、表現を覚えてから臨んでください！
中3,2026,2026/5/21 18:50,英語,今回は動名詞を扱いました。ほとんど問題なく正解出来ています。文が長くなった時にかたまりでとらえる考え方が非常に重要なので、今後も意識していきましょう。後半はテスト対策も兼ねて教科書表現の確認を行いました。SVOCもSVOOもきちんと使えていますが、人称代名詞や三単現のsが怪しいので注意しましょう。今回のテスト範囲でもあるので、単語や表現は覚えながら進めて下さい。
小5,2026,2026/5/21 15:50,算数,"前回に引き続き三角形の角度について扱いました。最初のうちはどうもなんとなく足したり引いたりしているようで、前回できていたタイプの問題も間違ってしまっていました。何度か確認してある程度正答できるようになってきましたが、気を抜くと適当に計算してしまうようです。一方で最後の応用問題などは一つ一つ考えながら正しく角度を求めることが出来ていたので、わかっていないわけではなさそうです。次は四角形で同じく角度の問題が続くので、引き続き考えさせながら進めていきます。
"
高3,2026,2026/5/20 20:20,数学,"本日はテスト中のため、生物の疑問点の確認と数3の演習を進めました。生物は用語の定義がややこしい場合があるので、見出しの段組みなどを確認しながら、何が何に含まれるかを確認しながら進めると良いでしょう。
変則ですが今週金曜日は英語を実施しますので忘れないようにして下さい。
"
中2,2026,2026/5/20 18:50,数学,"引き続き連立方程式の文章題を扱いました。基本的な代金の問題は問題なく出来ていますが、少しひねられたり、速度の問題だったりすると手が止まってしまっていました。何をx,yとするかはきちんと書くようになってきたので、あとは自分が作ろうとしている式が何を表しているのかをメモしたり、式に単位を付けたりして、正しい式を作れるようにしていきましょう。
また、連立方程式を解く際に何かを書ける場合はイコールの両側に掛けるのを忘れないようにして下さい。"
中2,2026,2026/5/20 18:50,英語,本日は接続詞の続きでifとbecauseを扱いました。接続詞そのものの理解は問題なくきちんと使うことが出来ています。ただ基本的な英文を書く際にbe動詞が抜けてしまったり三単現のsが抜けたりしている点は注意が必要です。また、新しい表現もどんどん出てきているので、きちんと覚えながら進めるようにしましょう。
中1,2026,2026/5/20 17:20,英語,"学校の授業があまり進んでいないとのことだったので、改めてbe動詞と一般動詞の肯定文、否定文、疑問文を扱いました。まだ動詞が抜けたりすることはありますが、比較的正しい語順で書けるようになってきました。ただ気を抜くとすぐbe動詞と一般動詞を混在させてしまうので気をつけましょう。また、単語があまり覚えられていないので、出てきたものはその都度覚えていくようにしていきましょう。
宿題で単語ドリルを出しているので、訳す練習→書く練習の順で、とにかく思い出す回数を増やすことを意識して、また間違えた問題だけに時間を使うことを意識して完璧に覚えてきて下さい。"
小4,2026,2026/5/20 15:50,国語,"本日は説明文に取り組みました。ほとんどよくできていましたが、段落の中心となる文で具体例の部分を選んでしまっていたので、抽象と具体の説明をしています。また、理由を問われているのに言い換えを答えてしまっている箇所もありました。このあたりの論理関係について徐々に考えられるように指導していきます。
漢字ドリルでは意味を考えずに書いていることがあり、意味を考えるように伝えると正しく書けるものも多々ありました。宿題はまとめの範囲になるので、一度復習してから取り組むように指示しています。"
小6,2026,2026/5/20 15:50,算数,前回の速さの問題が分からないとのことだったので改めて説明しました。基本的な道のり速さ時間の計算はできるものの、状況をイメージしきれていなかったようです。例題を隠して類題に取り組み、基本問題も順調に進められました。最後の全体の長さを出してから列車の長さを引く問題は自力では解けませんでしたが、状況を整理すると自分が式を作って計算することはできていました。計算結果に必ず単位を書き、問題で聞かれていることは何かを確認するように指導しています。
中3,2026,2026/5/19 20:20,数学,本日は証明問題と平方根を扱いました。証明は難しいと連呼していましが、形さえ覚えればやることは単純なので、まず文字を置く、片方を式で表す、式変形する、最後に問題文をそのまま書くという順番を守って書く練習をしていきましょう。テストが近づいてきたので復習も同時に進めていきます。
中2,2026,2026/5/19 18:50,英語,本日はこれまでの範囲のまとめ分野を進めました。少し説明すると思い出せるものの、抜けている事項が多い状態です。今やっている不定詞や接続詞は文の構造を把握する上で非常に重要なので、きちんと身につけておきましょう。文の主語や動詞が何か、不定詞や接続詞のかたまりがどこかはどこまでかを考える癖をつけていきましょう。テストが近付いてきているので、次の範囲まで進んだらテスト範囲に戻ります。
中2,2026,2026/5/19 18:50,英語,今回は宿題の確認から進めました。穴埋めはある程度できていますが、英作文や並び替えになるとできていないので、まだまだ不定詞や動名詞を固まりとして捉える感覚が弱いようで、英文の構造から考える練習が必要です。テキストはかなり速く進んでいるので、次回はプリントを使って不定詞動名詞の特訓を行えればと思います。
小4,2026,2026/5/19 15:50,"国語,算数","本日は算数テストの確認から始めました。間違えていた問題は3桁のかけ算と、6億の10倍等の問題で、昨日確認したタイプの問題で宿題にも出しているので次週の授業時に出来ているか確認します。
国語は引き続き物語文を扱いました。解くのも早く、記号や穴埋めの問題は非常に良く出来ていましたが、心情を記述させるタイプの問題は書けていない状況です。一つ一つ順番に問えば３題のうち2題は読み取れていたので、とにかく一言でどういう気持ちかを考えてみて、それを詳しくしていくという手順で指導しています。"
小6,2026,2026/5/19 15:50,国語,"本日は宿題範囲の対義語の確認から始めました。かなり空欄が多く、口頭で意味を確認しても対義語はすぐには出てこない状態です。一方で単語を言えば書けはするので、意味を知らないと言うよりも意味の関係を意識できていない印象です。今後も別の問題で扱ったり、文章中の言葉の対義語を考えさせたりしていきます。
その後の説明文の問題は比較的良く出来ていましたが、まだまだ近くの要素に飛びついてしまう印象があります。また、因果関係と同値関係の区別ができていなさそうなので、上記同様都度論理関係を確認しながら進めていきます。"
中1,2026,2026/5/18 18:50,数学,"本日は持ってきてもらったワークの確認から始めました。基本的には正負の数の法則は理解できているようです。ただ、分数や小数の計算方法がわかっていない箇所があったため、やり方を一緒に確認しました。足し算の通分と混じってしまったり、約分してから計算するのではなく計算してから約分していたりしていることもありましたが、指導した内容はしっかり使えているので、少しずつ改善していくはずです。
その後は3つ以上の乗算に取り組みましたが、こちらも同様に掛け算順番を変えて引き算になってしまうことがありました。正負の数の符号と足し算引き算の計算記号が混ざってしまっているのが要因だと思われるので次回授業時に区別について確認いたします。"
小5,2026,2026/5/18 18:50,算数,今回は容積の続きと三角形の角度について扱いました。前半は調子良く進めることができていましたが、後半は集中力が切れたのか、なかなか正しい式を作ることが出来ず、なんとなく足したり引いたりしている印象を受けました。特にやや複雑な図形から計算方法を考えるタイプの問題はかなり苦戦してしまいました。一方で指示していなくても図形にわかっている角度をどんどん書き込んでいくことが出来るようになっている点では良い変化が見られます。次回も同じ範囲を扱いつつ、意味を考えて式を作る練習をしていきます。
中1,2026,2026/5/18 17:20,国語,本日はプリントにて説明文の読解について扱いました。今回は指示語と接続語がテーマで、接続語に関しては、段落冒頭にある場合に段落間の関係を考えられていなかった点以外は、きちんと前後の関係から考えることができていました。指示語についても内容はある程度捉えられているものの、少し範囲がずれていたりして、指示語の部分に入れてみると気付けるということもあったので、候補が見つかったら入れて確認するという手順を忘れないようにしていきましょう。
中3,2026,2026/5/18 17:20,数学,本日は宿題の確認から始めました。二次方程式の計算は因数分解を用いたものはできるようになっていましたが、因数分解できないものは手が止まってしまっていました。平方の形を作るか公式を使えば解けるので諦めずに最後までやりきりましょう。また、方程式は=があって初めて成り立つものなので、必ず省略せずに書くようにして下さい。
小4,2026,2026/5/18 15:50,算数,宿題の確認後、少し易しめのワークの問題を用いて大きい数の復習を進めました。最初に位の確認をしたところちょこちょこ間違いがありました。数字を漢数字にするのは問題なく、逆に漢数字を数字にする問題は間違えてしまうものもありました。また1000万を23個集めた数や等は0の数が分からなくなってしまっていました。法則性は掴めませんでしたがどうも0を書く数が怪しく、右から数えて確認し調整するようなやり方になってしまっていたので、常に4桁ずつ区切る、漢字も兆億万に印をつけて4つずつ分けて書くように指導しています。後半はスムーズに解けていたので、宿題でも同一範囲の問題を出しています。
高3,2026,2026/5/15 20:20,数学,本日はテスト対策で、生物の範囲の概観と、数学の疑問点の解消を進めました。しっかり理解を深めながら学習できているようで素晴らしいです。グラフと実数解の関係性は二次関数でも三角関数でも同様に使うので、いつでも変換できるようにしておきましょう。また、平方根が入ると範囲が制限されるので、二乗して計算する場合は必ず範囲等に変化がないか確認する癖をつけていくと良いです。次回までに生物を一通り覚えて問題を解いてきてください。
中2,2026,2026/5/15 18:50,数学,本日は再び等式変形を扱いました。かなりできるようになってきましたが、符号への意識が抜けていることがあるので注意して取り組むようにしてください。後半は文字式の応用を扱いましたが、文字の扱いを忘れてしまっているので宿題で復習の範囲を出しています。解き直しまでやって身につけた状態で次の授業に進むようにしてください。
中2,2026,2026/5/15 18:50,英語,本日は教科書表現の確認、これまでの接続詞や目的語が2つある文の復習単元を扱いました。接続詞は問題なく使えていますが、目的語が2つある文はまだ意識できていないので、giveやtellが出てきたら即座に思い出せるようにしていきましょう。そして、英作文等の際にはとにかく主語述語を確認し、動詞の使い方を確認したうえで書くようにしてください。だんだん複雑になってきているので、少しずつ分解しながら書く癖をつけていってください。
中1,2026,2026/5/15 17:20,数学,"前回に引き続き正負の数の加法減法を扱いました。括弧を外す時の符号がやや怪しかったためその点からやり直しました。説明の後はノーミスで解き進められていたので、これを忘れないようにしましょう。また、混合の計算等、式が長くなるときや何回も計算する必要があるときは、途中経過をノートに書き込んでいくことが重要です。頭の中でやろうとすると時間がかかったり間違えたりする可能性が高くなるので、ひとつひとつの計算に集中できるようにどんどん書き込んでいくようにして下さい。

本日渡したテキストはプラス以外を授業時に持ってくるようにして下さい。また、テキストに書き込むのはNGなので、ノートも持ってくるようにして下さい。"
小5,2026,2026/5/15 15:50,国語,本日も引き続き物語文を扱いました。見慣れないテーマながらもきちんと読むことはできていました。問題文の指示、指定字数を無視しがちなので設問をきちんと読んでから答えるように伝えています。また、選択肢を適当に選んでしまっているので、何が本文と違うのかを考えさせるように指導しています。後半は熟語の成り立ちについて扱い、最初は苦戦していたものの、途中からはほぼ間違えずにどんどん解き進められています。
中3,2026,2026/5/14 20:20,英語,"今回は宿題範囲が分かっていなかったので再度確認しました。なんとか規則通りに書き換えれば良いことが分かったようで何よりです。今回の範囲はbe動詞しか使っていないので、余計なことを考えずにどんどん解き進めてください。
問題を解くときは単語が分からなくても解けるはずなので、わからない単語に線を引きながら解き、解き終えたら別の紙に書き出して訳を調べて書くようにしてください。
"
中1,2026,2026/5/14 18:50,英語,本日は比較について扱いました。使い方は理解しているものの、問題を解く際になんとなく意味を考えて書いてしまうことが多々あるので、きちんと法則を考えながら書くようにしていきましょう。英検の単語はとにかく見て思い出す回数を増やすことが大切です。1個をじっくり見るのではなくどんどん進めて何度も復習すること、覚えられていない単語にだけ時間をかけることを意識して進めて下さい。
中3,2026,2026/5/14 18:50,英語,"本日は接続詞の続きと受け身を扱いました。接続詞についてはほとんど問題なく理解できていました。受け身についても法則の理解は出来ているようです。不規則変化動詞も以前よりは覚えられていますが、まだ完璧とは言い難いので覚えるようにしましょう。
英作文、並び替えはとにかくメインの主語動詞がなんなのかから考えることが大切です。特に接続詞が入ると主語動詞が2セット入るのできちんと区別してから書き始めてください。また、5文型の受動態の疑問文は考えにくいので、肯定文に戻す、能動態に戻すなどしてから考えるようにして下さい。"
中2,2026,2026/5/14 17:20,国語,本日は宿題の確認の後、文法を進めました宿題の文章では、設問の読みが甘かったため、まず設問をきちんと読むようにしていきましょう。文法は初めて扱う内容も多くわからないことも多かったようです。活用の判別は「～ない」をつけてその直前の母音で判断するというやり方を徹底して行うようにしてください。
中3,2026,2026/5/14 17:20,英語,本日は2コマ連続のため2コマ目にまとめて記載いたします。
小5,2026,2026/5/14 15:50,算数,"本日は最初少し疲れた様子でしたが、問題を解き始めてからは元気が出て最後まで集中して取り組むことができていました。
今回は体積に続いて容積について扱いました。単位の変換はやや怪しいですが、容積から高さを求める問題などはきちんと式を作って解くことができていました。後半の凹凸がある複雑な図形は考えかたは合っていますが、問題文に書かれていて図には書かれていない数字などを見落として手が止まってしまいましたので、問題文を読んで数字を全部使うように指導しています。"
高3,2026,2026/5/13 20:20,英語,本日は分詞の演習と準動詞のまとめを扱いました。分詞についてはとにかく能動か受動かを考える、後ろに目的語があるかないかを考えることが非常に重要です。なんとなく訳しているとできるようにならないので、その点だけ考えて問題に取り組みましょう。また、基本品詞と文の要素、句を理解することが英語の上達には不可欠なので、準動詞の単元は忘れないようにして下さい。
中2,2026,2026/5/13 18:50,英語,"宿題の後半が壊滅状態だったため、そこの復習から始めました。まだまだ感覚で書こうとしているので、特に疑問文は必ず肯定文を考えてから疑問文に書き換えるステップを踏むようにしていきましょう。単語は少しずつ覚えられているようで、正しく書けるものも多くありました。この調子で少しずつスペルを覚えて下さい。
後半は接続詞のwhenを扱い、比較的良く出来ていました。文が長くなり、2文を一つにまとめる必要があるので設問の日本語を細かく確認しながら取り組むようにしましょう。"
中2,2026,2026/5/13 18:50,数学,"今回は宿題範囲に分からない問題が多かったとのことで、再度やり直しを行いました。意味をあまり考えずに式を作ってしまっているので、自分でx,yを置く時に何をおいたのか書くこと、一度言葉で式を作ってから文字や数字に置き換えること、問われているものが何かを確認してから答えることを改めて強調しています。また、等式変形も感覚で進めてしまって桁がおかしくなっていることがあり、必ず等号の両側で同じ計算をするようにしていきましょう。"
小4,2026,2026/5/13 15:50,国語,本日は宿題の確認から始めました。熟語の漢字を書く問題は意味が分かっていないものが多かったので（少々古い言葉もありましたが）、意味を覚えていけば書けるようになるものも多々あると思われます。その後テキストでは引き続き小説を扱いました。今回も少し離れたところに答えがあるタイプで間違えていたので、①空所に入る内容をまず考える→②近い意味のものを選ぶという順で考えるように指導しています。
小6,2026,2026/5/13 15:50,算数,本日は宿題、自習でやってきた周期算の確認から始めました。分からないと言っていた問題も図を書けば自分で計算できることもあったので、とにかく図を書くように伝えています。その後テキストで通過算、時計算を扱い、良く出来ていましたが、ちょっとしたミスが発生していたため、こちらも簡易的で良いから図を書くようにと指導しています。宿題で上巻の復習も出しています。
中3,2026,2026/5/12 20:20,数学,今回は因数分解の応用を扱いました。計算の工夫や式の値の代入に因数分解を使うものでしたが、文句を言いながらもきちんとやり方に則って計算することが出来ていました。因数分解の公式を覚えきれていないので、何度も使って頭に叩き込むようにしましょう。後半の証明問題は書き方が決まっているので、例題と同じように書くようにして下さい。
中2,2026,2026/5/12 18:50,英語,本日は宿題の確認から始めました。不定詞もかなり覚えられていますが、副詞的用法の感情の原因など、ちょこちょこ抜けているところがあるのでテスト前にもう一度復習しましょう。今回は助動詞と動名詞を扱いました。特に動名詞はかたまりでとらえて、…することと直訳することを意識して宿題に取り組んで下さい。
中1,2026,2026/5/12 17:20,英語,今回はbe動詞と一般動詞の肯定文否定文疑問文を扱いました。前回内容をある程度は覚えていてスムーズに進めることが出来ました。ただ日本語では疑問文になっているのに否定文にしてしまうなど、何を答えるかを考えずに書いていることが多々あるので注意が必要です。また、be動詞と一般動詞を混在させてしまうなどもあるので、このあたりを徹底して練習していきましょう。
小4,2026,2026/5/12 15:50,算数,本日は昨日の範囲の確認の後、□を使った式を表しました。単純な足し算や引き算の□はぱっと埋められていましたが、なんとなく分かってしまうが故に□を求める式を作らずに進めてしまっていて、後半の応用問題になると完全に手が止まってしまいました。今回のようにまずここを求めて、次にここを求めるといった段階的な思考が受験には不可欠なので、次回改めてどう考えるのかからやり直します。
小6,2026,2026/5/12 15:50,国語,今回は同音異義語の続きから始めました。やはり漢字自体は知っているものの意味を覚えていないことが多いため、毎回言葉の意味を確認しながら進めていきます。その後の詩と短歌の単元はあまり出ないので基本事項のみ確認し、類義語対義語に進みました。正答率は7割ぐらいでしたが、解答欄を間違えていたり問題の指示と違うことをやったりすることが何度かあったので、文章題の時と同様に設問をきちんと読む訓練が必要です。
中1,2026,2026/5/11 17:20,国語,今回も引き続きテキストを進めていきました。アクセントやイントネーションの単元だったため少し苦戦してしまいましたが、最後は自力で解けるようになっていました。学校に比べて進み過ぎているので、次回はプリントを用いて文章の読み方解き方等を扱っていきます。
中3,2026,2026/5/11 17:20,数学,宿題の確認から始めました。平方根の計算方法や因数分解を使った二次方程式の解き方が怪しかったので再度指導しました。その後は順調に問題を解けていましたが、ノートに式を書く際に括弧を省くことが多く、今後の文章題等でミスの原因になるので正確に書く癖をつけていきましょう。その後応用問題の解き方を確認しました。この単元が終わったら飛ばした一次関数の単元に戻ります。
小4,2026,2026/5/11 15:50,算数,GWの宿題はきちんとやってきてくれたようでした。テキストの方の宿題は特に計算と順序の方がやり方が分からなくなってしまったようで改めて確認しました。その後は計算の工夫へと進みましたが、きちんと理解して工夫を用いて計算できています。ただ2桁の引き算が暗算では怪しかったり、20×14を筆算しようとしてしまったりしているため、まだ工夫の効果が実感し辛いかもしれません。また、文章題を式にするのに苦戦していた様子なので、この辺りは日本語で式を作る練習を行っていければと思います。
高3,2026,2026/5/8 20:20,数学,今回も二次関数の応用を扱いました。しっかりとGW中に取り組んできてくれたのでわからない箇所が明確になっており素晴らしいです。二次関数はどんどんグラフを書いてイメージすることが重要なので、あまりきれいに書こうとせずに適当でも良いのでどんどわかることを書くようにしていきましょう。
中2,2026,2026/5/8 18:50,数学,本日も引き続き等式変形を扱いました。またわからなくなったとのことで再度やり方を確認しました。そもそも文字式が掛け算なのか足し算なのかを区別せずに変形を行ってしまっていることが多々あるので、変形前に確認する癖をつけていきましょう。前回よりもスムーズに理解できたと思うので、今度こそは完璧にやってきてください！
中3,2026,2026/5/8 18:50,英語,本日も引き続き進行形と未来形を扱いましたが、be動詞と一般動詞の区別が怪しくなっていたため再度確認しました。宿題でbe動詞の選択、否定文や疑問文への書き換えをひたすら行うプリントを出しているのでしっかりと取り組んできてください。単語が分からないところは悩んでも仕方ないのでどんどん進めるようにしましょう。
中1,2026,2026/5/8 17:20,数学,本日は正負の数の減法から扱いました。ちょうど学校でやっているところとのことでしたが、加法のやり方をそのまま当てはめてしまっていて出来ていなかったため、改めてやり方を説明しました。括弧を外す際、特に-(-の時に間違えてしまっているのでその点を重点的に確認しました。今回は前回よりも集中力が欠けていたのか、間違えるやり方を繰り返してしまっていましたが、最後はなんとか出来るようになりました。宿題で同じタイプの問題を出しているのでやり方を忘れないうちに取り組んで下さい。
小5,2026,2026/5/8 15:50,国語,"本日は宿題の類義語対義語の確認から行いました。問題になっている熟語の意味が分かれば解ける問題も多かったため、少しずつ言葉の意味を覚えていければと思います。
その後の物語文はしっかり内容を読み取れているものの、記述問題では1番大事な要素が抜けていました。抜き出しではない問題の場合はまずできるだけ短い答えを考えたから付け足していくように伝えています。また、最後の選択問題も一つずつ聞いていけば正誤を答えられるのに自分では正解を選べていないこともありました。選択肢を選んでいるときに本文をあまり見ていないので、必ず本文と照らし合わせながら解くように指導していきます。"
中1,2026,2026/5/7 18:50,英語,英検の対策をしたいとのことだったので、過去問を一緒に確認して問題形式を確認した後、対策でスコアを上げやすい英作文の部分の対策を行いました。疑問文にこたえるタイプの問題は機械的に書き換えれば単語が分からなくても正しい文章が書けるので、まずはそこを意識しましょう。また、自分で書く際には結論→理由①→理由②と使う表現を覚えてしまうことで、大体の問題に対応できるようになるはずです。
